SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod,PaperlessBilling,NumServices,MonthlyCharges,TotalCharges,Churn
0,Yes,No,66,One year,Fiber optic,No internet service,No internet service,Electronic check,Yes,3,86.22,5678.41,No
0,Yes,No,27,Two year,Fiber optic,No,No internet service,Credit card,Yes,5,97.52,2694.16,No
0,No,Yes,5,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes,1,61.93,346.87,No
0,Yes,No,34,One year,Fiber optic,No,No,Mailed check,Yes,6,91.47,3089.99,No
1,Yes,Yes,58,One year,DSL,No internet service,No,Electronic check,No,6,74.18,4260.6,No
0,No,No,13,Month-to-month,DSL,Yes,Yes,Credit card,Yes,4,51.45,645.47,No
0,No,No,33,Month-to-month,Fiber optic,Unknown,No,Electronic check,Yes,4,77.4,2593.46,Yes
1,No,No,9,Month-to-month,Fiber optic,No,Yes,Bank transfer,Yes,2,77.38,743.57,Yes
1,No,No,50,Two year,Fiber optic,No internet service,Yes,Bank transfer,Yes,3,86.45,4344.7,No
0,No,Yes,34,Month-to-month,DSL,No,No internet service,Bank transfer,Yes,1,52.73,1728.15,Yes
0,Yes,No,24,Month-to-month,No,Yes,No,Mailed check,Yes,3,42.99,1061.91,Yes
0,No,Yes,16,Two year,Fiber optic,No,No internet service,Bank transfer,No,4,88.49,1467.98,Yes
0,No,No,41,Month-to-month,DSL,Yes,No,Bank transfer,No,3,56.26,2313.6,No
0,Yes,No,48,Two year,DSL,No,No internet service,Electronic check,Yes,5,59.66,2942.87,No
0,Yes,Yes,68,Two year,Fiber optic,No,No,Mailed check,No,6,94.69,6386.08,No
1,Yes,No,31,Two year,Fiber optic,No,No,Mailed check,Yes,4,92.25,2887.14,No
1,No,No,11,Two year,DSL,Yes,Yes,Electronic check,Yes,3,63.02,652.41,No
1,No,Yes,60,Month-to-month,DSL,No,No,Bank transfer,No,2,55.59,3377.74,No
1,No,No,45,One year,DSL,No,No,Electronic check,No,4,66.28,3007.11,No
0,Yes,No,51,One year,DSL,No internet service,No,Credit card,Yes,5,75.16,3905.21,No
0,Yes,No,7,One year,DSL,No,No,Electronic check,Yes,1,49.95,369.64,No
0,Yes,No,22,Month-to-month,No,No,Yes,Bank transfer,Yes,3,41.7,901.24,Yes
0,No,No,56,Month-to-month,Fiber optic,No internet service,No internet service,Electronic check,Yes,3,79.14,4412.2,No
0,No,Yes,60,Month-to-month,Fiber optic,No,No internet service,Mailed check,No,2,78.56,4703.59,Yes
0,No,No,31,Month-to-month,Fiber optic,No,No,Electronic check,Yes,2,76.12,2339.29,No
0,No,No,58,One year,Fiber optic,Yes,No,Bank transfer,No,6,101.76,5955.96,No
0,No,No,61,Two year,DSL,No,No,Electronic check,No,3,52.41,3248.04,No
0,No,No,28,One year,DSL,No,No,Credit card,Yes,4,61.07,1650.1,No
0,Yes,No,65,One year,DSL,Yes,No,Bank transfer,No,1,38.34,2493.63,No
0,Yes,No,21,Month-to-month,Fiber optic,No internet service,No,Credit card,No,2,82.57,1736.47,Yes
0,Yes,No,17,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,Yes,2,86.48,1438.91,No
0,Yes,No,49,Month-to-month,Fiber optic,No,Yes,Bank transfer,Yes,2,84.46,4156.07,Yes
1,Yes,No,46,Month-to-month,Fiber optic,Yes,No internet service,Credit card,No,6,101.88,4744.91,Yes
0,Yes,No,10,Month-to-month,No,No,No,Electronic check,No,4,43.04,466.07,Yes
0,No,No,60,Month-to-month,DSL,No internet service,Yes,Bank transfer,Yes,6,76.2,4625.88,No
0,Yes,Yes,14,Month-to-month,Fiber optic,Yes,Yes,Mailed check,No,3,87.19,1191.92,No
0,No,Yes,58,One year,Fiber optic,No,No,Bank transfer,No,5,96.57,5602.52,No
0,No,No,0,Month-to-month,Fiber optic,No,No,Electronic check,No,1,70.57,0.0,Yes
0,No,No,58,Month-to-month,Fiber optic,No internet service,No,Mailed check,Yes,5,91.3,5304.98,No
0,No,No,57,Month-to-month,Fiber optic,Yes,No,Bank transfer,Yes,4,88.42,5053.12,Yes
0,Yes,Yes,56,One year,DSL,No internet service,No internet service,Mailed check,No,1,47.49,2697.83,No
0,No,Yes,48,One year,Fiber optic,No,No,Electronic check,Yes,5,83.1,4041.34,Yes
1,Yes,No,34,Month-to-month,No,No,No internet service,Mailed check,Yes,3,26.09,914.62,No
0,No,No,51,Month-to-month,Fiber optic,No,Yes,Credit card,Yes,1,75.88,3835.47,No
0,Yes,Yes,20,Two year,No,No,No,Electronic check,Yes,6,52.43,994.51,No
0,Yes,No,56,One year,Fiber optic,No,Yes,Mailed check,No,4,88.06,4952.16,No
0,No,No,40,One year,Fiber optic,Yes,Yes,Credit card,Yes,4,104.59,4243.62,No
1,No,No,33,Month-to-month,Fiber optic,No,Yes,Credit card,No,4,82.48,2720.85,Yes
1,Yes,Yes,36,Two year,Fiber optic,No,Yes,Electronic check,Yes,1,77.17,2717.02,No
0,No,No,41,Two year,No,No,No internet service,Mailed check,No,2,36.75,1590.14,No
0,Yes,No,2,Month-to-month,DSL,Yes,No,Electronic check,Yes,5,73.89,167.36,Yes
0,No,No,10,One year,Fiber optic,No,No internet service,Credit card,Yes,3,87.43,881.15,Yes
0,Yes,Yes,17,Month-to-month,Fiber optic,No,No,Mailed check,No,6,103.42,1711.42,No
1,Yes,No,8,One year,No,No,No,Mailed check,No,2,29.33,235.29,Yes
0,Yes,No,32,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,Yes,3,93.48,3018.84,Yes
0,Yes,No,48,Month-to-month,No,No,No,Mailed check,Yes,3,41.2,1997.72,No
0,Yes,No,47,Two year,No,No,No,Electronic check,Yes,1,19.39,884.13,No
0,Yes,No,34,Two year,Fiber optic,Yes,No internet service,Credit card,No,5,94.43,3208.34,Yes
0,Yes,No,62,Month-to-month,No,No internet service,No internet service,Mailed check,Yes,1,18.0,1091.36,No
0,Yes,Yes,41,Two year,No,No,Yes,Mailed check,No,3,42.63,1814.4,No
0,No,No,5,Month-to-month,DSL,No,No,Credit card,Yes,6,73.35,402.54,Yes
0,Yes,Yes,55,Month-to-month,Fiber optic,Yes,No,Electronic check,No,6,105.09,5758.98,No
0,No,No,41,Two year,DSL,Yes,No,Electronic check,Yes,2,53.34,2140.2,No
1,No,No,46,Month-to-month,Fiber optic,No internet service,Yes,Mailed check,Yes,3,72.36,3339.67,Yes
1,Yes,Yes,41,Month-to-month,DSL,Unknown,No,Bank transfer,No,4,78.82,3211.91,Yes
0,No,Yes,40,One year,Fiber optic,Yes,No internet service,Electronic check,Yes,5,93.29,3714.87,No
0,Yes,Yes,6,Month-to-month,Fiber optic,Yes,No,Credit card,No,2,73.0,392.59,Yes
0,Yes,No,40,Month-to-month,Fiber optic,No internet service,No,Mailed check,Yes,4,94.87,3754.34,No
1,No,No,58,Month-to-month,DSL,No internet service,Yes,Mailed check,Yes,6,84.22,4891.27,No
0,No,No,22,One year,Fiber optic,Unknown,No internet service,Mailed check,No,5,91.29,1997.7,No
0,No,Yes,44,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,No,5,91.9,4143.46,Yes
0,Yes,Yes,2,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,Yes,6,98.43,220.63,Yes
0,No,Yes,25,One year,DSL,No,No,Bank transfer,No,6,65.33,1587.18,No
0,Yes,No,31,Month-to-month,DSL,Yes,No internet service,Mailed check,Yes,4,58.86,1763.23,Yes
0,Yes,No,71,Month-to-month,Fiber optic,No,No,Mailed check,No,6,107.69,7661.92,Yes
0,Yes,No,15,One year,No,No,Yes,Credit card,Yes,3,32.71,474.78,Yes
0,No,No,20,One year,DSL,No,Yes,Electronic check,Yes,5,62.47,1302.66,No
0,Yes,No,29,Month-to-month,Fiber optic,Unknown,No,Mailed check,Yes,6,94.29,2745.68,Yes
0,No,No,72,Two year,DSL,Yes,No,Mailed check,No,1,55.94,3948.38,No
0,No,No,62,One year,Fiber optic,No,Yes,Electronic check,No,6,85.14,5237.9,No
0,No,No,2,Month-to-month,DSL,Yes,No internet service,Credit card,No,5,69.03,111.05,No
0,No,No,17,One year,Fiber optic,Yes,Yes,Credit card,Yes,6,111.77,1917.77,Yes
0,No,No,59,One year,Fiber optic,Yes,No,Electronic check,Yes,5,104.69,6134.6,No
1,Yes,Yes,4,One year,DSL,No,Yes,Credit card,Yes,1,52.94,217.87,Yes
0,Yes,No,62,One year,Fiber optic,Yes,No,Electronic check,No,2,86.9,5334.35,No
1,No,Yes,20,One year,Fiber optic,Yes,No,Credit card,Yes,1,82.34,1647.05,Yes
0,Yes,No,66,Two year,Fiber optic,Yes,No,Credit card,No,4,87.24,5772.64,No
0,Yes,Yes,21,One year,No,No,No,Electronic check,Yes,3,39.05,878.51,No
0,Yes,Yes,31,Two year,Fiber optic,Yes,No internet service,Bank transfer,No,3,94.23,2930.95,No
0,Yes,Yes,48,One year,No,Yes,No internet service,Credit card,Yes,5,34.92,1643.49,No
0,Yes,No,9,Two year,Fiber optic,No internet service,No,Electronic check,Yes,5,95.96,923.36,Yes
0,Yes,No,40,Two year,DSL,No internet service,No,Mailed check,No,1,51.67,2059.47,No
0,No,No,36,Month-to-month,DSL,Yes,No internet service,Bank transfer,No,6,72.62,2645.26,No
0,Yes,No,57,Month-to-month,Fiber optic,Yes,Yes,Electronic check,Yes,3,83.59,4740.11,No
0,No,No,72,One year,DSL,Yes,Yes,Electronic check,No,5,68.89,4963.71,No
0,No,No,48,Month-to-month,No,No,Yes,Electronic check,No,4,39.89,1882.67,Yes
0,Yes,Yes,29,One year,Fiber optic,Yes,No internet service,Bank transfer,Yes,3,90.21,2628.98,No
0,No,No,29,Two year,Fiber optic,No internet service,Yes,Mailed check,Yes,2,81.86,2406.09,No
0,No,No,30,Two year,Fiber optic,No internet service,Yes,Electronic check,No,2,77.93,2318.11,No
1,No,No,59,Month-to-month,Fiber optic,No,No,Electronic check,No,5,87.46,5138.1,No
0,Yes,No,23,One year,Fiber optic,Yes,Yes,Electronic check,Yes,2,76.17,1766.18,No
0,Yes,No,12,Month-to-month,DSL,No internet service,No,Bank transfer,Yes,2,55.57,633.84,No
0,Yes,Yes,24,Month-to-month,DSL,No,No,Electronic check,No,1,45.26,1025.52,Yes
0,No,No,1,Month-to-month,DSL,No internet service,Yes,Bank transfer,Yes,6,77.68,91.81,Yes
0,No,No,7,Month-to-month,DSL,Yes,No internet service,Mailed check,No,3,61.08,423.25,No
0,No,No,6,Month-to-month,Fiber optic,No,Yes,Bank transfer,No,3,90.36,537.01,Yes
0,No,No,56,One year,DSL,No internet service,No internet service,Mailed check,Yes,3,54.67,3082.36,No
0,No,Yes,52,One year,DSL,No internet service,No,Credit card,Yes,4,58.01,3042.95,Yes
0,No,Yes,50,Month-to-month,No,No,Yes,Electronic check,Yes,3,40.32,2009.56,No
0,Yes,Yes,33,Month-to-month,No,No,Yes,Credit card,Yes,4,38.78,1234.83,No
0,No,Yes,52,Month-to-month,Fiber optic,No,No,Electronic check,No,2,77.78,4019.02,Yes
0,Yes,Yes,11,Two year,Fiber optic,No,No,Electronic check,No,2,83.19,938.49,Yes
0,Yes,No,65,Two year,Fiber optic,No internet service,Yes,Mailed check,No,6,100.97,6568.51,No
0,No,No,36,Month-to-month,DSL,No,No internet service,Electronic check,Yes,3,50.97,1812.93,Yes
0,No,No,68,Month-to-month,Fiber optic,Yes,No,Mailed check,No,6,105.31,7129.7,No
0,Yes,No,11,Month-to-month,DSL,Yes,No internet service,Credit card,Yes,6,69.54,789.65,Yes
0,No,Yes,36,One year,Fiber optic,No,Yes,Credit card,No,5,102.7,3688.33,Yes
0,Yes,No,50,Month-to-month,No,No internet service,Yes,Bank transfer,Yes,4,30.0,1530.11,No
0,Yes,Yes,36,Month-to-month,Fiber optic,Yes,No,Credit card,Yes,6,98.9,3595.57,Yes
0,Yes,No,32,Month-to-month,No,No,Yes,Mailed check,Yes,1,23.39,735.97,No
0,No,Yes,12,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,Yes,3,71.65,897.79,No
1,No,No,27,Month-to-month,Fiber optic,No,Yes,Credit card,No,5,96.45,2609.69,Yes
0,Yes,No,17,Month-to-month,Fiber optic,Yes,Yes,Electronic check,Yes,1,62.96,1081.03,No
0,Yes,No,22,One year,Fiber optic,No,No,Electronic check,Yes,2,77.25,1611.95,Yes
0,Yes,No,49,Month-to-month,Fiber optic,No,Yes,Electronic check,No,1,81.13,3936.53,Yes
0,Yes,No,46,Month-to-month,DSL,Yes,No internet service,Electronic check,Yes,3,55.32,2508.05,Yes
1,No,Yes,44,One year,Fiber optic,Unknown,Yes,Electronic check,Yes,4,82.58,3620.77,No
1,No,No,26,Month-to-month,DSL,No,No,Electronic check,Yes,3,63.3,1650.37,Yes
1,No,No,70,Two year,Fiber optic,No,No,Bank transfer,Yes,1,73.0,5116.21,Yes
0,Yes,No,6,Two year,DSL,No,No,Bank transfer,No,3,56.07,347.85,No
0,No,No,25,Month-to-month,Fiber optic,Yes,No internet service,Credit card,Yes,6,104.65,2588.85,Yes
0,Yes,No,8,Two year,DSL,Yes,No internet service,Electronic check,Yes,1,42.5,367.65,No
0,Yes,No,24,One year,DSL,Yes,Yes,Electronic check,Yes,5,64.74,1626.13,No
0,No,No,70,One year,Fiber optic,Yes,No,Bank transfer,No,2,84.2,5879.87,No
0,No,Yes,26,Month-to-month,DSL,No,No internet service,Electronic check,No,1,42.11,1068.31,Yes
0,No,Yes,66,Month-to-month,No,Yes,Yes,Mailed check,Yes,1,35.15,2292.49,No
0,No,Yes,36,Month-to-month,Fiber optic,No,No,Bank transfer,No,1,73.2,2638.62,Yes
0,No,No,51,Two year,Fiber optic,Yes,Yes,Bank transfer,Yes,3,88.75,4505.22,Yes
0,No,Yes,33,One year,DSL,Yes,No,Electronic check,Yes,3,63.73,2033.88,No
0,Yes,Yes,19,Month-to-month,No,Yes,No,Bank transfer,No,4,37.09,646.44,Yes
0,Yes,Yes,55,Month-to-month,Fiber optic,No,No,Bank transfer,No,1,71.63,3980.46,Yes
0,Yes,No,70,Month-to-month,Fiber optic,No,No internet service,Credit card,Yes,4,87.74,6193.07,No
0,Yes,Yes,19,Month-to-month,DSL,No internet service,No,Electronic check,No,5,71.78,1427.82,No
0,Yes,Yes,56,One year,Fiber optic,Yes,No internet service,Bank transfer,No,1,68.58,3849.53,No
0,Yes,No,19,Month-to-month,No,No,No,Bank transfer,No,5,35.28,630.68,Yes
0,No,Yes,52,One year,Fiber optic,No,No,Electronic check,No,1,83.41,4319.8,Yes
0,No,No,57,One year,DSL,No,No,Bank transfer,Yes,3,54.09,3023.47,No
0,No,No,32,One year,DSL,Yes,No,Bank transfer,No,4,65.12,2022.64,No
0,Yes,No,53,Two year,DSL,Yes,No internet service,Electronic check,Yes,6,70.79,3762.08,No
0,No,No,19,Month-to-month,Fiber optic,Yes,Yes,Mailed check,Yes,4,87.05,1675.51,Yes
0,Yes,No,5,One year,No,No internet service,No internet service,Mailed check,Yes,3,42.08,288.73,No
0,Yes,Yes,7,One year,No,No,No,Bank transfer,No,6,46.49,322.11,Yes
0,Yes,Yes,32,Month-to-month,No,No,No,Electronic check,Yes,2,26.86,805.21,Yes
0,Yes,Yes,65,Month-to-month,DSL,No,No,Mailed check,Yes,2,52.38,3399.82,No
0,Yes,Yes,9,Month-to-month,No,No,No,Electronic check,No,3,30.48,263.02,No
0,No,No,33,Month-to-month,DSL,No,No,Bank transfer,Yes,1,45.48,1481.19,Yes
1,No,Yes,51,Month-to-month,DSL,Unknown,No,Bank transfer,Yes,1,46.5,2385.25,No
0,No,Yes,14,Month-to-month,Fiber optic,No,Yes,Mailed check,Yes,3,93.48,1260.14,No
0,Yes,No,52,One year,DSL,Yes,No,Mailed check,No,1,53.77,2801.27,No
1,No,No,22,Month-to-month,No,Yes,No,Electronic check,Yes,4,35.93,816.52,No
0,No,Yes,59,Month-to-month,No,No,No,Electronic check,Yes,4,43.89,2646.3,No
0,Yes,Yes,42,Month-to-month,Fiber optic,No,No,Bank transfer,Yes,3,73.98,3119.58,Yes
1,No,Yes,39,Month-to-month,No,No,Yes,Electronic check,No,3,41.75,1669.97,No
0,No,Yes,12,Two year,Fiber optic,No,No,Bank transfer,No,1,82.27,969.48,Yes
0,Yes,No,33,Month-to-month,DSL,Unknown,No,Electronic check,Yes,3,71.92,2361.19,No
0,Yes,No,62,Month-to-month,No,No internet service,No,Credit card,No,1,30.57,1949.25,No
0,No,No,1,Month-to-month,Fiber optic,Yes,No,Electronic check,No,3,86.12,31.26,Yes
0,Yes,No,55,Month-to-month,No,No internet service,No,Mailed check,No,5,50.25,2747.62,No
0,Yes,No,35,One year,DSL,No,No,Electronic check,Yes,6,68.25,2433.89,No
0,Yes,No,52,One year,DSL,No,Yes,Credit card,Yes,2,51.63,2676.32,No
0,No,Yes,48,Month-to-month,Fiber optic,No,Yes,Bank transfer,No,2,78.61,3761.86,No
0,Yes,Yes,31,One year,Fiber optic,No,No,Bank transfer,Yes,5,100.71,3111.4,No
0,Yes,No,22,Month-to-month,No,No,Yes,Bank transfer,Yes,6,41.86,925.61,No
0,Yes,No,45,Two year,No,Yes,Yes,Electronic check,Yes,2,23.23,1088.79,No
1,No,Yes,10,One year,DSL,No internet service,Yes,Bank transfer,Yes,6,73.42,771.17,Yes
0,No,Yes,42,Month-to-month,Fiber optic,Yes,No,Credit card,No,2,83.31,3499.48,Yes
0,No,No,6,One year,DSL,No,No internet service,Electronic check,Yes,4,58.78,396.38,Yes
0,Yes,Yes,47,Two year,DSL,No,Yes,Credit card,No,2,58.02,2740.61,No
0,Yes,No,45,Month-to-month,Fiber optic,No internet service,No,Credit card,No,2,87.21,3958.81,Yes
0,No,No,6,Two year,Fiber optic,No,No internet service,Credit card,Yes,6,104.2,584.07,No
0,Yes,No,55,Two year,Fiber optic,Yes,No internet service,Credit card,Yes,3,85.62,4778.64,No
0,No,Yes,30,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes,1,73.96,2227.61,Yes
1,No,Yes,57,One year,Fiber optic,Yes,No internet service,Bank transfer,Yes,5,102.91,5755.94,No
1,Yes,No,3,One year,No,No,Yes,Electronic check,No,1,24.59,140.15,Yes
0,No,No,13,Month-to-month,DSL,No,No,Bank transfer,No,1,55.14,717.02,Yes
0,No,Yes,36,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,No,6,108.75,3899.18,No
0,Yes,Yes,13,Two year,Fiber optic,Yes,No,Credit card,No,3,88.51,1126.4,No
0,No,No,24,One year,Fiber optic,Yes,Yes,Electronic check,Yes,1,68.52,1662.06,Yes
0,Yes,No,48,Month-to-month,No,No,No,Electronic check,No,6,39.57,1863.82,Yes
1,No,No,10,Month-to-month,DSL,Yes,Yes,Electronic check,Yes,2,52.21,499.02,Yes
0,Yes,No,49,Month-to-month,Fiber optic,Yes,No,Bank transfer,Yes,4,92.26,4498.62,No
0,Yes,No,7,Two year,No,No,No,Electronic check,Yes,2,31.67,210.0,No
0,No,No,12,One year,Fiber optic,No,Yes,Electronic check,Yes,4,101.24,1194.27,Yes
1,Yes,Yes,42,Month-to-month,Fiber optic,Yes,No internet service,Electronic check,No,5,95.11,4028.73,Yes
0,Yes,No,57,Two year,No,No,No,Electronic check,No,5,40.54,2321.62,Yes
0,No,No,12,Two year,DSL,No internet service,Yes,Credit card,Yes,3,51.7,636.12,Yes
0,Yes,Yes,21,Month-to-month,Fiber optic,No,Yes,Mailed check,Yes,4,95.08,2021.1,Yes
1,Yes,No,67,Month-to-month,No,Yes,No,Electronic check,Yes,6,46.96,3142.6,Yes
0,Yes,No,72,One year,DSL,Yes,Yes,Electronic check,No,6,62.96,4492.31,No
0,Yes,Yes,42,Month-to-month,Fiber optic,Unknown,No,Electronic check,Yes,5,92.63,3962.67,No
0,Yes,No,32,Month-to-month,Fiber optic,No,No,Mailed check,Yes,3,77.53,2518.06,Yes
1,No,No,25,One year,No,No,No,Electronic check,Yes,4,35.45,950.76,Yes
0,No,No,44,Two year,No,Yes,No,Electronic check,No,6,47.04,2111.14,No
0,Yes,No,43,Month-to-month,No,Yes,No internet service,Electronic check,No,2,23.57,995.1,No
1,No,No,21,Two year,DSL,No,No,Electronic check,Yes,5,64.57,1262.05,No
0,No,No,1,Two year,Fiber optic,No,No,Bank transfer,Yes,5,88.04,38.88,No
0,No,No,11,Month-to-month,No,No internet service,No internet service,Electronic check,Yes,3,29.2,346.66,Yes
0,No,No,69,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,No,6,90.95,6271.48,Yes
0,No,No,30,One year,Fiber optic,Yes,No,Bank transfer,Yes,3,80.6,2401.21,Yes
0,No,No,35,One year,DSL,No,No internet service,Credit card,No,6,66.63,2232.23,No
0,No,No,34,Month-to-month,No,Yes,No,Electronic check,No,4,41.52,1411.15,No
0,No,No,57,One year,DSL,Yes,No internet service,Credit card,Yes,1,50.7,2846.63,No
1,Yes,Yes,4,One year,DSL,No,No,Credit card,Yes,5,74.67,269.7,No
0,Yes,No,6,One year,No,No,No,Credit card,Yes,5,53.82,356.92,No
0,No,No,20,One year,No,Yes,No,Credit card,Yes,2,33.06,620.03,No
