customerID,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod,PaperlessBilling,NumServices,MonthlyCharges,TotalCharges,Churn
CUST-10084,1,No,No,45,One year,DSL,No,No,Electronic check,No,4,66.28,3007.11,No
CUST-10085,0,Yes,No,51,One year,DSL,No internet service,No,Credit card,Yes,5,75.16,3905.21,No
CUST-10086,0,Yes,No,7,One year,DSL,No,No,Electronic check,Yes,1,49.95,369.64,No
CUST-10087,0,Yes,No,22,Month-to-month,No,No,Yes,Bank transfer,Yes,3,41.7,901.24,Yes
CUST-10088,0,No,No,56,Month-to-month,Fiber optic,No internet service,No internet service,Electronic check,Yes,3,79.14,4412.2,No
CUST-10089,0,No,Yes,60,Month-to-month,Fiber optic,No,No internet service,Mailed check,No,2,78.56,4703.59,Yes
CUST-10090,0,No,No,31,Month-to-month,Fiber optic,No,No,Electronic check,Yes,2,76.12,2339.29,No
CUST-10091,0,No,No,58,One year,Fiber optic,Yes,No,Bank transfer,No,6,101.76,5955.96,No
CUST-10092,0,No,No,61,Two year,DSL,No,No,Electronic check,No,3,52.41,3248.04,No
CUST-10093,0,No,No,28,One year,DSL,No,No,Credit card,Yes,4,61.07,1650.1,No
CUST-10094,0,Yes,No,65,One year,DSL,Yes,No,Bank transfer,No,1,38.34,2493.63,No
CUST-10095,0,Yes,No,21,Month-to-month,Fiber optic,No internet service,No,Credit card,No,2,82.57,1736.47,Yes
CUST-10096,0,Yes,No,17,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,Yes,2,86.48,1438.91,No
CUST-10097,0,Yes,No,49,Month-to-month,Fiber optic,No,Yes,Bank transfer,Yes,2,84.46,4156.07,Yes
CUST-10098,1,Yes,No,46,Month-to-month,Fiber optic,Yes,No internet service,Credit card,No,6,101.88,4744.91,Yes
CUST-10099,0,Yes,No,10,Month-to-month,No,No,No,Electronic check,No,4,43.04,466.07,Yes
CUST-10100,0,No,No,60,Month-to-month,DSL,No internet service,Yes,Bank transfer,Yes,6,76.2,4625.88,No
CUST-10101,0,Yes,Yes,14,Month-to-month,Fiber optic,Yes,Yes,Mailed check,No,3,87.19,1191.92,No
CUST-10102,0,No,Yes,58,One year,Fiber optic,No,No,Bank transfer,No,5,96.57,5602.52,No
CUST-10103,0,No,No,0,Month-to-month,Fiber optic,No,No,Electronic check,No,1,70.57, ,Yes
CUST-10104,0,No,No,58,Month-to-month,Fiber optic,No internet service,No,Mailed check,Yes,5,91.3,5304.98,No
CUST-10105,0,No,No,57,Month-to-month,Fiber optic,Yes,No,Bank transfer,Yes,4,88.42,5053.12,Yes
CUST-10106,0,Yes,Yes,56,One year,DSL,No internet service,No internet service,Mailed check,No,1,47.49,2697.83,No
CUST-10107,0,No,Yes,48,One year,Fiber optic,No,No,Electronic check,Yes,5,83.1,4041.34,Yes
CUST-10108,1,Yes,No,34,Month-to-month,No,No,No internet service,Mailed check,Yes,3,26.09,914.62,No
CUST-10109,0,No,No,51,Month-to-month,Fiber optic,No,Yes,Credit card,Yes,1,75.88,3835.47,No
CUST-10110,0,Yes,Yes,20,Two year,No,No,No,,Yes,6,52.43,994.51,No
CUST-10111,0,Yes,No,56,One year,Fiber optic,No,Yes,Mailed check,No,4,88.06,4952.16,No
CUST-10112,0,No,No,40,One year,Fiber optic,Yes,Yes,Credit card,Yes,4,104.59,4243.62,No
CUST-10113,1,No,No,33,Month-to-month,Fiber optic,No,Yes,Credit card,No,4,82.48,2720.85,Yes
CUST-10114,1,Yes,Yes,36,Two year,Fiber optic,No,Yes,Electronic check,Yes,1,77.17,2717.02,No
CUST-10115,0,No,No,41,Two year,No,No,No internet service,Mailed check,No,2,36.75,1590.14,No
CUST-10116,0,Yes,No,2,Month-to-month,DSL,Yes,No,Electronic check,Yes,5,73.89,167.36,Yes
CUST-10117,0,No,No,10,One year,Fiber optic,No,No internet service,Credit card,Yes,3,87.43,881.15,Yes
CUST-10118,0,Yes,Yes,17,Month-to-month,Fiber optic,No,No,Mailed check,No,6,103.42,1711.42,No
CUST-10119,1,Yes,No,8,One year,No,No,No,Mailed check,No,2,29.33,235.29,Yes
CUST-10120,0,Yes,No,32,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,Yes,3,93.48,3018.84,Yes
CUST-10121,0,Yes,No,48,Month-to-month,No,No,No,Mailed check,Yes,3,41.2,1997.72,No
CUST-10122,0,Yes,No,47,Two year,No,No,No,Electronic check,Yes,1,19.39,884.13,No
CUST-10123,0,Yes,No,34,Two year,Fiber optic,Yes,No internet service,Credit card,No,5,94.43,3208.34,Yes
CUST-10124,0,Yes,No,62,Month-to-month,No,No internet service,No internet service,Mailed check,Yes,1,18.0,1091.36,No
CUST-10125,0,Yes,Yes,41,Two year,No,No,Yes,Mailed check,No,3,42.63,1814.4,No
CUST-10126,0,No,No,5,Month-to-month,DSL,No,No,Credit card,Yes,6,73.35,402.54,Yes
CUST-10127,0,Yes,Yes,55,Month-to-month,Fiber optic,Yes,No,Electronic check,No,6,105.09,5758.98,No
CUST-10128,0,No,No,41,Two year,DSL,Yes,No,Electronic check,Yes,2,53.34,2140.2,No
CUST-10129,1,No,No,46,Month-to-month,Fiber optic,No internet service,Yes,Mailed check,Yes,3,72.36,3339.67,Yes
CUST-10130,1,Yes,Yes,41,Month-to-month,DSL,,No,Bank transfer,No,4,78.82,3211.91,Yes
CUST-10131,0,No,Yes,40,One year,Fiber optic,Yes,No internet service,Electronic check,Yes,5,93.29,3714.87,No
CUST-10132,0,Yes,Yes,6,Month-to-month,Fiber optic,Yes,No,Credit card,No,2,73.0,392.59,Yes
CUST-10133,0,Yes,No,40,Month-to-month,Fiber optic,No internet service,No,Mailed check,Yes,4,94.87,3754.34,No
CUST-10134,1,No,No,58,Month-to-month,DSL,No internet service,Yes,Mailed check,Yes,6,84.22,4891.27,No
CUST-10135,0,No,No,22,One year,Fiber optic,,No internet service,Mailed check,No,5,91.29,1997.7,No
CUST-10136,0,No,Yes,44,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,No,5,91.9,4143.46,Yes
CUST-10137,0,Yes,Yes,2,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,Yes,6,98.43,220.63,Yes
CUST-10138,0,No,Yes,25,One year,DSL,No,No,Bank transfer,No,6,65.33,1587.18,No
CUST-10139,0,Yes,No,31,Month-to-month,DSL,Yes,No internet service,Mailed check,Yes,4,58.86,1763.23,Yes
CUST-10140,0,Yes,No,71,Month-to-month,Fiber optic,No,No,Mailed check,No,6,107.69,7661.92,Yes
CUST-10141,0,Yes,No,15,One year,No,No,Yes,Credit card,Yes,3,32.71,474.78,Yes
CUST-10142,0,No,No,20,One year,DSL,No,Yes,Electronic check,Yes,5,62.47,1302.66,No
CUST-10143,0,Yes,No,29,Month-to-month,Fiber optic,,No,Mailed check,Yes,6,94.29,2745.68,Yes
CUST-10144,0,No,No,72,Two year,DSL,Yes,No,Mailed check,No,1,55.94,3948.38,No
CUST-10145,0,No,No,62,One year,Fiber optic,No,Yes,Electronic check,No,6,85.14,5237.9,No
CUST-10146,0,No,No,2,Month-to-month,DSL,Yes,No internet service,Credit card,No,5,69.03,111.05,No
CUST-10147,0,No,No,17,One year,Fiber optic,Yes,Yes,Credit card,Yes,6,111.77,1917.77,Yes
CUST-10148,0,No,No,59,One year,Fiber optic,Yes,No,Electronic check,Yes,5,104.69,6134.6,No
CUST-10149,1,Yes,Yes,4,One year,DSL,No,Yes,Credit card,Yes,1,52.94,217.87,Yes
CUST-10150,0,Yes,No,62,One year,Fiber optic,Yes,No,Electronic check,No,2,86.9,5334.35,No
CUST-10151,1,No,Yes,20,One year,Fiber optic,Yes,No,Credit card,Yes,1,82.34,1647.05,Yes
CUST-10152,0,Yes,No,66,Two year,Fiber optic,Yes,No,Credit card,No,4,87.24,5772.64,No
CUST-10153,0,Yes,Yes,21,One year,No,No,No,Electronic check,Yes,3,39.05,878.51,No
CUST-10154,0,Yes,Yes,31,Two year,Fiber optic,Yes,No internet service,Bank transfer,No,3,94.23,2930.95,No
CUST-10155,0,Yes,Yes,48,One year,No,Yes,No internet service,Credit card,Yes,5,34.92,1643.49,No
CUST-10156,0,Yes,No,9,Two year,Fiber optic,No internet service,No,Electronic check,Yes,5,95.96,923.36,Yes
CUST-10157,0,Yes,No,40,Two year,DSL,No internet service,No,Mailed check,No,1,51.67,2059.47,No
CUST-10158,0,No,No,36,Month-to-month,DSL,Yes,No internet service,Bank transfer,No,6,72.62,2645.26,No
CUST-10159,0,Yes,No,57,Month-to-month,Fiber optic,Yes,Yes,Electronic check,Yes,3,83.59,4740.11,No
CUST-10160,0,No,No,72,One year,DSL,Yes,Yes,Electronic check,No,5,68.89,4963.71,No
CUST-10161,0,No,No,48,Month-to-month,No,No,Yes,Electronic check,No,4,39.89,1882.67,Yes
CUST-10162,0,Yes,Yes,29,One year,Fiber optic,Yes,No internet service,Bank transfer,Yes,3,90.21,2628.98,No
CUST-10163,0,No,No,29,Two year,Fiber optic,No internet service,Yes,Mailed check,Yes,2,81.86,2406.09,No
CUST-10164,0,No,No,30,Two year,Fiber optic,No internet service,Yes,,No,2,77.93,2318.11,No
CUST-10165,1,No,No,59,Month-to-month,Fiber optic,No,No,Electronic check,No,5,87.46,5138.1,No
CUST-10166,0,Yes,No,23,One year,Fiber optic,Yes,Yes,Electronic check,Yes,2,76.17,1766.18,No
CUST-10167,0,Yes,No,12,Month-to-month,DSL,No internet service,No,Bank transfer,Yes,2,55.57,633.84,No
CUST-10168,0,Yes,Yes,24,Month-to-month,DSL,No,No,Electronic check,No,1,45.26,1025.52,Yes
CUST-10169,0,No,No,1,Month-to-month,DSL,No internet service,Yes,Bank transfer,Yes,6,77.68,91.81,Yes
CUST-10170,0,No,No,7,Month-to-month,DSL,Yes,No internet service,Mailed check,No,3,61.08,423.25,No
CUST-10171,0,No,No,6,Month-to-month,Fiber optic,No,Yes,Bank transfer,No,3,90.36,537.01,Yes
CUST-10172,0,No,No,56,One year,DSL,No internet service,No internet service,Mailed check,Yes,3,54.67,3082.36,No
CUST-10173,0,No,Yes,52,One year,DSL,No internet service,No,Credit card,Yes,4,58.01,3042.95,Yes
CUST-10174,0,No,Yes,50,Month-to-month,No,No,Yes,Electronic check,Yes,3,40.32,2009.56,No
CUST-10175,0,Yes,Yes,33,Month-to-month,No,No,Yes,Credit card,Yes,4,38.78,1234.83,No
CUST-10176,0,No,Yes,52,Month-to-month,Fiber optic,No,No,Electronic check,No,2,77.78,4019.02,Yes
CUST-10177,0,Yes,Yes,11,Two year,Fiber optic,No,No,Electronic check,No,2,83.19,938.49,Yes
CUST-10178,0,Yes,No,65,Two year,Fiber optic,No internet service,Yes,Mailed check,No,6,100.97,6568.51,No
CUST-10179,0,No,No,36,Month-to-month,DSL,No,No internet service,Electronic check,Yes,3,50.97,1812.93,Yes
CUST-10180,0,No,No,68,Month-to-month,Fiber optic,Yes,No,Mailed check,No,6,105.31,7129.7,No
CUST-10181,0,Yes,No,11,Month-to-month,DSL,Yes,No internet service,Credit card,Yes,6,69.54,789.65,Yes
CUST-10182,0,No,Yes,36,One year,Fiber optic,No,Yes,Credit card,No,5,102.7,3688.33,Yes
CUST-10183,0,Yes,No,50,Month-to-month,No,No internet service,Yes,Bank transfer,Yes,4,30.0,1530.11,No
CUST-10184,0,Yes,Yes,36,Month-to-month,Fiber optic,Yes,No,Credit card,Yes,6,98.9,3595.57,Yes
CUST-10185,0,Yes,No,32,Month-to-month,No,No,Yes,Mailed check,Yes,1,23.39,735.97,No
CUST-10186,0,No,Yes,12,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,Yes,3,71.65,897.79,No
CUST-10187,1,No,No,27,Month-to-month,Fiber optic,No,Yes,Credit card,No,5,96.45,2609.69,Yes
CUST-10188,0,Yes,No,17,Month-to-month,Fiber optic,Yes,Yes,Electronic check,Yes,1,62.96,1081.03,No
CUST-10189,0,Yes,No,22,One year,Fiber optic,No,No,Electronic check,Yes,2,77.25,1611.95,Yes
CUST-10190,0,Yes,No,49,Month-to-month,Fiber optic,No,Yes,Electronic check,No,1,81.13,3936.53,Yes
CUST-10191,0,Yes,No,46,Month-to-month,DSL,Yes,No internet service,Electronic check,Yes,3,55.32,2508.05,Yes
CUST-10192,1,No,Yes,44,One year,Fiber optic,,Yes,Electronic check,Yes,4,82.58,3620.77,No
CUST-10193,1,No,No,26,Month-to-month,DSL,No,No,Electronic check,Yes,3,63.3,1650.37,Yes
CUST-10194,1,No,No,70,Two year,Fiber optic,No,No,Bank transfer,Yes,1,73.0,5116.21,Yes
CUST-10195,0,Yes,No,6,Two year,DSL,No,No,Bank transfer,No,3,56.07,347.85,No
CUST-10196,0,No,No,25,Month-to-month,Fiber optic,Yes,No internet service,Credit card,Yes,6,104.65,2588.85,Yes
CUST-10197,0,Yes,No,8,Two year,DSL,Yes,No internet service,Electronic check,Yes,1,42.5,367.65,No
CUST-10198,0,Yes,No,24,One year,DSL,Yes,Yes,Electronic check,Yes,5,64.74,1626.13,No
CUST-10199,0,No,No,70,One year,Fiber optic,Yes,No,Bank transfer,No,2,84.2,5879.87,No
CUST-10200,0,No,Yes,26,Month-to-month,DSL,No,No internet service,Electronic check,No,1,42.11,1068.31,Yes
CUST-10201,0,No,Yes,66,Month-to-month,No,Yes,Yes,Mailed check,Yes,1,35.15,2292.49,No
CUST-10202,0,No,Yes,36,Month-to-month,Fiber optic,No,No,Bank transfer,No,1,73.2,2638.62,Yes
CUST-10203,0,No,No,51,Two year,Fiber optic,Yes,Yes,Bank transfer,Yes,3,88.75,4505.22,Yes
CUST-10204,0,No,Yes,33,One year,DSL,Yes,No,Electronic check,Yes,3,63.73,2033.88,No
CUST-10205,0,Yes,Yes,19,Month-to-month,No,Yes,No,Bank transfer,No,4,37.09,646.44,Yes
CUST-10206,0,Yes,Yes,55,Month-to-month,Fiber optic,No,No,Bank transfer,No,1,71.63,3980.46,Yes
CUST-10207,0,Yes,No,70,Month-to-month,Fiber optic,No,No internet service,Credit card,Yes,4,87.74,6193.07,No
CUST-10208,0,Yes,Yes,19,Month-to-month,DSL,No internet service,No,Electronic check,No,5,71.78,1427.82,No
CUST-10209,0,Yes,Yes,56,One year,Fiber optic,Yes,No internet service,Bank transfer,No,1,68.58,3849.53,No
CUST-10210,0,Yes,No,19,Month-to-month,No,No,No,Bank transfer,No,5,35.28,630.68,Yes
CUST-10211,0,No,Yes,52,One year,Fiber optic,No,No,Electronic check,No,1,83.41,4319.8,Yes
CUST-10212,0,No,No,57,One year,DSL,No,No,Bank transfer,Yes,3,54.09,3023.47,No
CUST-10213,0,No,No,32,One year,DSL,Yes,No,Bank transfer,No,4,65.12,2022.64,No
CUST-10214,0,Yes,No,53,Two year,DSL,Yes,No internet service,Electronic check,Yes,6,70.79,3762.08,No
CUST-10215,0,No,No,19,Month-to-month,Fiber optic,Yes,Yes,Mailed check,Yes,4,87.05,1675.51,Yes
CUST-10216,0,Yes,No,5,One year,No,No internet service,No internet service,Mailed check,Yes,3,42.08,288.73,No
CUST-10217,0,Yes,Yes,7,One year,No,No,No,Bank transfer,No,6,46.49,322.11,Yes
CUST-10218,0,Yes,Yes,32,Month-to-month,No,No,No,Electronic check,Yes,2,26.86,805.21,Yes
CUST-10219,0,Yes,Yes,65,Month-to-month,DSL,No,No,Mailed check,Yes,2,52.38,3399.82,No
CUST-10220,0,Yes,Yes,9,Month-to-month,No,No,No,Electronic check,No,3,30.48,263.02,No
CUST-10221,0,No,No,33,Month-to-month,DSL,No,No,Bank transfer,Yes,1,45.48,1481.19,Yes
CUST-10222,1,No,Yes,51,Month-to-month,DSL,,No,Bank transfer,Yes,1,46.5,2385.25,No
CUST-10223,0,No,Yes,14,Month-to-month,Fiber optic,No,Yes,Mailed check,Yes,3,93.48,1260.14,No
CUST-10224,0,Yes,No,52,One year,DSL,Yes,No,Mailed check,No,1,53.77,2801.27,No
CUST-10225,1,No,No,22,Month-to-month,No,Yes,No,Electronic check,Yes,4,35.93,816.52,No
CUST-10226,0,No,Yes,59,Month-to-month,No,No,No,Electronic check,Yes,4,43.89,2646.3,No
CUST-10227,0,Yes,Yes,42,Month-to-month,Fiber optic,No,No,Bank transfer,Yes,3,73.98,3119.58,Yes
CUST-10228,1,No,Yes,39,Month-to-month,No,No,Yes,Electronic check,No,3,41.75,1669.97,No
CUST-10229,0,No,Yes,12,Two year,Fiber optic,No,No,Bank transfer,No,1,82.27,969.48,Yes
CUST-10230,0,Yes,No,33,Month-to-month,DSL,,No,,Yes,3,71.92,2361.19,No
CUST-10231,0,Yes,No,62,Month-to-month,No,No internet service,No,Credit card,No,1,30.57,1949.25,No
CUST-10232,0,No,No,1,Month-to-month,Fiber optic,Yes,No,Electronic check,No,3,86.12,31.26,Yes
CUST-10233,0,Yes,No,55,Month-to-month,No,No internet service,No,Mailed check,No,5,50.25,2747.62,No
CUST-10234,0,Yes,No,35,One year,DSL,No,No,Electronic check,Yes,6,68.25,2433.89,No
CUST-10235,0,Yes,No,52,One year,DSL,No,Yes,Credit card,Yes,2,51.63,2676.32,No
CUST-10236,0,No,Yes,48,Month-to-month,Fiber optic,No,Yes,Bank transfer,No,2,78.61,3761.86,No
CUST-10237,0,Yes,Yes,31,One year,Fiber optic,No,No,Bank transfer,Yes,5,100.71,3111.4,No
CUST-10238,0,Yes,No,22,Month-to-month,No,No,Yes,Bank transfer,Yes,6,41.86,925.61,No
CUST-10239,0,Yes,No,45,Two year,No,Yes,Yes,Electronic check,Yes,2,23.23,1088.79,No
CUST-10240,1,No,Yes,10,One year,DSL,No internet service,Yes,Bank transfer,Yes,6,73.42,771.17,Yes
CUST-10241,0,No,Yes,42,Month-to-month,Fiber optic,Yes,No,Credit card,No,2,83.31,3499.48,Yes
CUST-10242,0,No,No,6,One year,DSL,No,No internet service,Electronic check,Yes,4,58.78,396.38,Yes
CUST-10243,0,Yes,Yes,47,Two year,DSL,No,Yes,Credit card,No,2,58.02,2740.61,No
CUST-10244,0,Yes,No,45,Month-to-month,Fiber optic,No internet service,No,Credit card,No,2,87.21,3958.81,Yes
CUST-10245,0,No,No,6,Two year,Fiber optic,No,No internet service,Credit card,Yes,6,104.2,584.07,No
